,group,sub_group,sub_sub_group,dataset,shape,size
31,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,horProjSigma,"(1,)",1
32,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,horProjection,"(2048,)",2048
33,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,imageRawData,"(1080, 2048)",2211840
34,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,imageTimeStamp,"(1,)",1
35,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,intensityAvg,"(1,)",1
36,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,intensityHistogram,"(1000,)",1000
37,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,intensityRMS,"(1,)",1
38,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,intensitySigma,"(1,)",1
39,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,pixelSize,"(1,)",1
40,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,verProjAmp,"(1,)",1
41,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,verProjAvg,"(1,)",1
42,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,verProjSigma,"(1,)",1
43,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,verProjection,"(1080,)",1080
44,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,width,"(1,)",1
45,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,PublishedSettings,delayTime,"(1,)",1
46,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,PublishedSettings,exposureTime,"(1,)",1
47,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,PublishedSettings,gain,"(1,)",1
48,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,PublishedSettings,triggerMode,"(1,)",1
49,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,beamIntensity,"(1,)",1
50,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,beamSize,"(1,)",1
51,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,cogX,"(1,)",1
52,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,cogY,"(1,)",1
53,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,height,"(1,)",1
54,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,horProjAmp,"(1,)",1
55,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,horProjAvg,"(1,)",1
56,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,horProjSigma,"(1,)",1
57,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,horProjection,"(2592,)",2592
58,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,imageRawData,"(2048, 2592)",5308416
59,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,imageTimeStamp,"(1,)",1
60,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,intensityAvg,"(1,)",1
61,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,intensityHistogram,"(1000,)",1000
62,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,intensityRMS,"(1,)",1
63,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,intensitySigma,"(1,)",1
64,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,pixelSize,"(1,)",1
65,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,verProjAmp,"(1,)",1
66,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,verProjAvg,"(1,)",1
67,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,verProjSigma,"(1,)",1
68,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,verProjection,"(2048,)",2048
69,AwakeEventData,BOVWA.01TCV4.CAM8,ExtractionImage,width,"(1,)",1
70,AwakeEventData,BOVWA.01TCV4.CAM8,PublishedSettings,delayTime,"(1,)",1
71,AwakeEventData,BOVWA.01TCV4.CAM8,PublishedSettings,exposureTime,"(1,)",1
72,AwakeEventData,BOVWA.01TCV4.CAM8,PublishedSettings,gain,"(1,)",1
73,AwakeEventData,BOVWA.01TCV4.CAM8,PublishedSettings,triggerMode,"(1,)",1
74,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,beamIntensity,"(1,)",1
75,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,beamSize,"(1,)",1
76,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,cogX,"(1,)",1
77,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,cogY,"(1,)",1
78,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,height,"(1,)",1
79,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,horProjAmp,"(1,)",1
80,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,horProjAvg,"(1,)",1
81,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,horProjSigma,"(1,)",1
82,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,horProjection,"(1280,)",1280
83,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,imageRawData,"(960, 1280)",1228800
84,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,imageTimeStamp,"(1,)",1
85,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,intensityAvg,"(1,)",1
86,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,intensityHistogram,"(1000,)",1000
87,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,intensityRMS,"(1,)",1
88,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,intensitySigma,"(1,)",1
89,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,pixelSize,"(1,)",1
90,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,verProjAmp,"(1,)",1
91,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,verProjAvg,"(1,)",1
92,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,verProjSigma,"(1,)",1
93,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,verProjection,"(960,)",960
94,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,ExtractionImage,width,"(1,)",1
95,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,PublishedSettings,delayTime,"(1,)",1
96,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,PublishedSettings,exposureTime,"(1,)",1
97,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,PublishedSettings,gain,"(1,)",1
98,AwakeEventData,BOVWA.02TCC4.AWAKECAM02,PublishedSettings,triggerMode,"(1,)",1
99,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,beamIntensity,"(1,)",1
100,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,beamSize,"(1,)",1
101,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,cogX,"(1,)",1
102,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,cogY,"(1,)",1
103,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,height,"(1,)",1
104,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,horProjAmp,"(1,)",1
105,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,horProjAvg,"(1,)",1
106,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,horProjSigma,"(1,)",1
107,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,horProjection,"(1920,)",1920
108,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,imageRawData,"(1200, 1920)",2304000
109,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,imageTimeStamp,"(1,)",1
110,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,intensityAvg,"(1,)",1
111,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,intensityHistogram,"(1000,)",1000
112,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,intensityRMS,"(1,)",1
113,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,intensitySigma,"(1,)",1
114,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,pixelSize,"(1,)",1
115,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,verProjAmp,"(1,)",1
116,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,verProjAvg,"(1,)",1
117,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,verProjSigma,"(1,)",1
118,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,verProjection,"(1200,)",1200
119,AwakeEventData,BOVWA.02TSG40.CAM7,ExtractionImage,width,"(1,)",1
120,AwakeEventData,BOVWA.02TSG40.CAM7,PublishedSettings,delayTime,"(1,)",1
121,AwakeEventData,BOVWA.02TSG40.CAM7,PublishedSettings,exposureTime,"(1,)",1
122,AwakeEventData,BOVWA.02TSG40.CAM7,PublishedSettings,gain,"(1,)",1
123,AwakeEventData,BOVWA.02TSG40.CAM7,PublishedSettings,triggerMode,"(1,)",1
124,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,beamIntensity,"(1,)",1
125,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,beamSize,"(1,)",1
126,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,cogX,"(1,)",1
127,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,cogY,"(1,)",1
128,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,height,"(1,)",1
129,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,horProjAmp,"(1,)",1
130,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,horProjAvg,"(1,)",1
131,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,horProjSigma,"(1,)",1
132,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,horProjection,"(1920,)",1920
133,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,imageRawData,"(1200, 1920)",2304000
134,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,imageTimeStamp,"(1,)",1
135,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,intensityAvg,"(1,)",1
136,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,intensityHistogram,"(1000,)",1000
137,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,intensityRMS,"(1,)",1
138,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,intensitySigma,"(1,)",1
139,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,pixelSize,"(1,)",1
140,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,verProjAmp,"(1,)",1
141,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,verProjAvg,"(1,)",1
142,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,verProjSigma,"(1,)",1
143,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,verProjection,"(1200,)",1200
144,AwakeEventData,BOVWA.03TT41.CAM3,ExtractionImage,width,"(1,)",1
145,AwakeEventData,BOVWA.03TT41.CAM3,PublishedSettings,delayTime,"(1,)",1
146,AwakeEventData,BOVWA.03TT41.CAM3,PublishedSettings,exposureTime,"(1,)",1
147,AwakeEventData,BOVWA.03TT41.CAM3,PublishedSettings,gain,"(1,)",1
148,AwakeEventData,BOVWA.03TT41.CAM3,PublishedSettings,triggerMode,"(1,)",1
149,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,beamIntensity,"(1,)",1
150,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,beamSize,"(1,)",1
151,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,cogX,"(1,)",1
152,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,cogY,"(1,)",1
153,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,height,"(1,)",1
154,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,horProjAmp,"(1,)",1
155,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,horProjAvg,"(1,)",1
156,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,horProjSigma,"(1,)",1
157,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,horProjection,"(1600,)",1600
158,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,imageRawData,"(1200, 1600)",1920000
159,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,imageTimeStamp,"(1,)",1
160,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,intensityAvg,"(1,)",1
161,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,intensityHistogram,"(1000,)",1000
162,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,intensityRMS,"(1,)",1
163,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,intensitySigma,"(1,)",1
164,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,pixelSize,"(1,)",1
165,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,verProjAmp,"(1,)",1
166,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,verProjAvg,"(1,)",1
167,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,verProjSigma,"(1,)",1
168,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,verProjection,"(1200,)",1200
169,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,ExtractionImage,width,"(1,)",1
170,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,PublishedSettings,delayTime,"(1,)",1
171,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,PublishedSettings,exposureTime,"(1,)",1
172,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,PublishedSettings,gain,"(1,)",1
173,AwakeEventData,BOVWA.04TCC4.AWAKECAM04,PublishedSettings,triggerMode,"(1,)",1
174,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,beamIntensity,"(1,)",1
175,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,beamSize,"(1,)",1
176,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,cogX,"(1,)",1
177,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,cogY,"(1,)",1
178,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,height,"(1,)",1
179,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,horProjAmp,"(1,)",1
180,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,horProjAvg,"(1,)",1
181,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,horProjSigma,"(1,)",1
182,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,horProjection,"(1920,)",1920
183,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,imageRawData,"(1200, 1920)",2304000
184,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,imageTimeStamp,"(1,)",1
185,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,intensityAvg,"(1,)",1
186,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,intensityHistogram,"(1000,)",1000
187,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,intensityRMS,"(1,)",1
188,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,intensitySigma,"(1,)",1
189,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,pixelSize,"(1,)",1
190,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,verProjAmp,"(1,)",1
191,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,verProjAvg,"(1,)",1
192,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,verProjSigma,"(1,)",1
193,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,verProjection,"(1200,)",1200
194,AwakeEventData,BOVWA.04TT41.CAM4,ExtractionImage,width,"(1,)",1
195,AwakeEventData,BOVWA.04TT41.CAM4,PublishedSettings,delayTime,"(1,)",1
196,AwakeEventData,BOVWA.04TT41.CAM4,PublishedSettings,exposureTime,"(1,)",1
197,AwakeEventData,BOVWA.04TT41.CAM4,PublishedSettings,gain,"(1,)",1
198,AwakeEventData,BOVWA.04TT41.CAM4,PublishedSettings,triggerMode,"(1,)",1
199,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,beamIntensity,"(1,)",1
200,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,beamSize,"(1,)",1
201,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,cogX,"(1,)",1
202,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,cogY,"(1,)",1
203,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,height,"(1,)",1
204,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,horProjAmp,"(1,)",1
205,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,horProjAvg,"(1,)",1
206,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,horProjSigma,"(1,)",1
207,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,horProjection,"(1920,)",1920
208,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,imageRawData,"(1200, 1920)",2304000
209,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,imageTimeStamp,"(1,)",1
210,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,intensityAvg,"(1,)",1
211,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,intensityHistogram,"(1000,)",1000
212,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,intensityRMS,"(1,)",1
213,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,intensitySigma,"(1,)",1
214,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,pixelSize,"(1,)",1
215,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,verProjAmp,"(1,)",1
216,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,verProjAvg,"(1,)",1
217,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,verProjSigma,"(1,)",1
218,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,verProjection,"(1200,)",1200
219,AwakeEventData,BOVWA.05TT41.CAM5,ExtractionImage,width,"(1,)",1
220,AwakeEventData,BOVWA.05TT41.CAM5,PublishedSettings,delayTime,"(1,)",1
221,AwakeEventData,BOVWA.05TT41.CAM5,PublishedSettings,exposureTime,"(1,)",1
222,AwakeEventData,BOVWA.05TT41.CAM5,PublishedSettings,gain,"(1,)",1
223,AwakeEventData,BOVWA.05TT41.CAM5,PublishedSettings,triggerMode,"(1,)",1
224,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,beamIntensity,"(1,)",1
225,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,beamSize,"(1,)",1
226,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,cogX,"(1,)",1
227,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,cogY,"(1,)",1
228,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,height,"(1,)",1
229,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,horProjAmp,"(1,)",1
230,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,horProjAvg,"(1,)",1
231,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,horProjSigma,"(1,)",1
232,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,horProjection,"(1600,)",1600
233,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,imageRawData,"(1200, 1600)",1920000
234,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,imageTimeStamp,"(1,)",1
235,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,intensityAvg,"(1,)",1
236,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,intensityHistogram,"(1000,)",1000
237,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,intensityRMS,"(1,)",1
238,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,intensitySigma,"(1,)",1
239,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,pixelSize,"(1,)",1
240,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,verProjAmp,"(1,)",1
241,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,verProjAvg,"(1,)",1
242,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,verProjSigma,"(1,)",1
243,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,verProjection,"(1200,)",1200
244,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,ExtractionImage,width,"(1,)",1
245,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,PublishedSettings,delayTime,"(1,)",1
246,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,PublishedSettings,exposureTime,"(1,)",1
247,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,PublishedSettings,gain,"(1,)",1
248,AwakeEventData,BOVWA.06TCC4.AWAKECAM06,PublishedSettings,triggerMode,"(1,)",1
249,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,beamIntensity,"(1,)",1
250,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,beamSize,"(1,)",1
251,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,cogX,"(1,)",1
252,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,cogY,"(1,)",1
253,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,height,"(1,)",1
254,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,horProjAmp,"(1,)",1
255,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,horProjAvg,"(1,)",1
256,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,horProjSigma,"(1,)",1
257,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,horProjection,"(1600,)",1600
258,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,imageRawData,"(1200, 1600)",1920000
259,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,imageTimeStamp,"(1,)",1
260,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,intensityAvg,"(1,)",1
261,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,intensityHistogram,"(1000,)",1000
262,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,intensityRMS,"(1,)",1
263,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,intensitySigma,"(1,)",1
264,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,pixelSize,"(1,)",1
265,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,verProjAmp,"(1,)",1
266,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,verProjAvg,"(1,)",1
267,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,verProjSigma,"(1,)",1
268,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,verProjection,"(1200,)",1200
269,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,ExtractionImage,width,"(1,)",1
270,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,PublishedSettings,delayTime,"(1,)",1
271,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,PublishedSettings,exposureTime,"(1,)",1
272,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,PublishedSettings,gain,"(1,)",1
273,AwakeEventData,BOVWA.07TCC4.AWAKECAM07,PublishedSettings,triggerMode,"(1,)",1
274,AwakeEventData,BOVWA.11TCC4.AWAKECAM11,ExtractionImage,beamIntensity,"(1,)",1
275,AwakeEventData,BOVWA.11TCC4.AWAKECAM11,ExtractionImage,beamSize,"(1,)",1
276,AwakeEventData,BOVWA.11TCC4.AWAKECAM11,ExtractionImage,cogX,"(1,)",1
277,AwakeEventData,BOVWA.11TCC4.AWAKECAM11,ExtractionImage,cogY,"(1,)",1
278,AwakeEventData,BOVWA.11TCC4.AWAKECAM11,ExtractionImage,height,"(1,)",1
